taxi|Такси|Такси, поездка, аэропорт, трансфер
ride_hailing|Заказ поездок|Убер, Болт, приложение, водитель
chauffeur|Услуги личного водителя|Личный водитель, лимузин, шофёр
driving_school|Автошкола|Уроки вождения, инструктор, права
translation|Переводы|Переводчик, документы, справки, договор
interpreting|Устный перевод|Переводчик, синхронный, конференция, суд
sworn_translation|Заверенный перевод|Присяжный, нотариальный, справка, диплом
language_school|Языковая школа|Языковые курсы, уроки, преподаватель
removals|Переезды|Перевозка мебели, коробки, фургон, грузчики
international_removals|Международные переезды|За границу, контейнер, таможня
courier|Курьерская служба|Курьер, посылка, срочно, доставка
freight_forwarding|Экспедирование|Экспедитор, логистика, паллета, груз
refrigerated_transport|Рефрижераторные перевозки|Холодовая цепь, заморозка, скоропортящиеся
haulage|Грузоперевозки|Фура, грузовик, прицеп, полуприцеп
storage_warehousing|Складское хранение|Склад, ангар, паллета, хранение
customs_brokerage|Таможенное оформление|Таможня, импорт, экспорт, декларация
excavation|Земляные работы|Экскаватор, котлован, траншея, грунт
crane_hire|Аренда кранов|Кран, автокран, подъём
scaffolding|Строительные леса|Леса, помост, фасад
demolition|Снос и демонтаж|Снос, демонтаж, строительный мусор
concrete_works|Бетонные работы|Бетон, стяжка, фундамент, опалубка
surveying|Геодезия|Геодезист, кадастр, съёмка, план
tool_hire|Прокат инструмента|Инструменты, дрель, болгарка
machinery_rental|Аренда техники|Техника, погрузчик, спецтехника
generator_hire|Аренда генераторов|Генератор, электростанция, электричество
electrical_installation|Электромонтаж|Электрик, кабель, розетка, щиток, автомат
plumbing|Сантехника|Сантехник, труба, кран, бойлер, протечка, ванная
heating_hvac|Отопление|Котёл, батареи, тёплый пол, тепловой насос
air_conditioning|Кондиционирование|Кондиционер, охлаждение, сплит, вентиляция
painting_decorating|Малярные работы|Маляр, краска, обои, шпаклёвка
carpentry|Столярные работы|Столяр, плотник, дерево, мебель, дверь
flooring|Напольные покрытия|Паркет, ламинат, плитка, ковролин
roofing|Кровельные работы|Кровельщик, черепица, водосток, гидроизоляция
locksmith|Замки и вскрытие|Замок, ключи, вскрытие дверей, бронедверь
cleaning_services|Уборка|Клининг, уборщица, офисы
gardening_landscaping|Садоводство и ландшафт|Садовник, газон, изгородь, деревья, обрезка
renovation|Ремонт помещений|Ремонт, подрядчик, отделка, стройка
car_repair|Автосервис|СТО, механик, ТО, двигатель, тормоза
mobile_mechanic|Выездной механик|Выезд, на месте, аккумулятор, поломка
tyre_service|Шиномонтаж|Шины, диски, прокол, балансировка
bodywork_paint|Кузовной ремонт и покраска|Жестянщик, вмятина, покраска, ДТП
towing_recovery|Эвакуатор|Буксировка, эвакуация, лебёдка
childcare|Уход за детьми|Ясли, няня, детский сад, бебиситтер
elderly_care|Уход за пожилыми|Сиделка, сопровождение, дом престарелых
home_nursing|Медсестра на дому|Медсестра, уход, паллиативный
private_tutoring|Репетиторство|Репетитор, домашние задания, экзамены
music_lessons|Уроки музыки|Пианино, гитара, скрипка, вокал, педагог
sports_coaching|Спортивные тренировки|Тренер, футбол, теннис, подготовка
it_training|Компьютерные курсы|Курсы, Эксель, программирование
vocational_training|Профессиональное обучение|Квалификация, сертификат, переподготовка
holiday_lettings|Аренда жилья для отпуска|Квартира, дом, Airbnb, посуточно
guesthouse_bnb|Гостевой дом|Пансион, комнаты, завтрак
property_management|Управление недвижимостью|Управляющий, ТСЖ, аренда, здание
veterinary|Ветеринария|Ветеринар, клиника, прививка, собака, кошка
dog_walking|Выгул собак|Выгульщик, поводок, прогулка
pet_grooming|Груминг|Грумер, стрижка собак, шерсть
general_practice|Терапевт|Врач, семейный врач, приём, рецепт
dentistry|Стоматология|Стоматолог, зубной, ортодонт, имплант, протез
physiotherapy|Физиотерапия|Физиотерапевт, реабилитация, восстановление
psychology|Психология|Психолог, психотерапия, терапия, консультация
pharmacy|Аптека|Фармацевт, лекарства, рецепт, препараты
optometry|Оптика|Оптик, очки, линзы, зрение
medical_laboratory|Медицинская лаборатория|Анализы, кровь, диагностика
software_development|Разработка ПО|Программист, разработчик, код, софт
web_development|Веб-разработка|Сайт, веб-дизайн, интернет-магазин, WordPress
it_support|ИТ-поддержка|Хелпдеск, сисадмин, компьютер, принтер, сеть, сервер
cybersecurity|Кибербезопасность|Информационная безопасность, файрвол, пентест, бэкап
data_ai|Данные и ИИ|Машинное обучение, аналитика, база данных
cloud_hosting|Облако и хостинг|Сервер, хостинг, домен, AWS, Azure
accounting|Бухгалтерия|Бухгалтер, учёт, зарплата, счета
audit_tax|Аудит и налоги|Аудитор, налоговый консультант, декларация, НДС
legal_services|Юридические услуги|Адвокат, юрист, контора, нотариус, договор, суд
hr_recruitment|Подбор персонала|Рекрутер, кадровое агентство, хедхантер, кандидаты
management_consulting|Управленческий консалтинг|Консультант, стратегия, бизнес-план
insurance_brokerage|Страховой брокер|Страховка, брокер, полис, страховой случай
real_estate_agency|Агентство недвижимости|Риелтор, квартира, дом, участок
architecture|Архитектура|Архитектор, проект, разрешение, чертежи
manufacturing|Промышленное производство|Завод, производство, промышленность, сборка
cnc_machining|Обработка на ЧПУ|Фрезеровка, токарная, станок, металлообработка
metalwork_welding|Металлоконструкции и сварка|Сварщик, сталь, ворота, перила
restaurant|Ресторан|Кафе, пиццерия, кухня, меню, столовая
catering|Кейтеринг|Банкеты, фуршет, питание, мероприятия
hotel|Гостиница|Отель, хостел, мотель, номер, ресепшен
event_management|Организация мероприятий|Мероприятия, свадьбы, конференции, сцена
agriculture|Сельское хозяйство|Ферма, трактор, урожай, скот, поля
forestry|Лесное хозяйство|Вырубка, древесина, лес, бензопила
waste_recycling|Отходы и переработка|Мусор, металлолом, контейнер, вывоз
renewable_energy|Возобновляемая энергия|Солнечные панели, солнечная, ветряк, инвертор
